Title,Company,Location,Salary,Skills,Experience level
All Levels Software Engineer,Sabre Poland,Kraków,,  C   C++   Linux  ,Junior
C#/.NET Junior Software Developers,Diebold Nixdorf,Katowice,Znamy widełki,  C#   .NET   SQL  ,Junior
Tester Gier,Lionbridge Poland ,Warszawa,,  Windows  ,Junior
Junior DevOps Engineer ,Edrone,"Remote, Kraków",5 500 - 7 500 PLN,  You build it you run it  ,Junior
Junior Application Administrator,Commerzbank - Centrum Technologii Cyfrowych w Polsce,Łódź,Znamy widełki,  Linux   Unix   Windows Server  ,Junior
GPU Software Junior or Intern Engineer,Luxoft Poland,Gdańsk,,  C++   Java   Linux  ,Junior
QA Engineer,Sii Polska,"Gdańsk, Białystok, Poznań i 9 więcej",,"  QA, Engineer ",Junior
Administrator IT,Vercom,Poznań,,  Linux   MySQL   Ansible  ,Junior
Junior .Net Developer,Netcompany Poland Sp. z o.o.,Warszawa,6 500 - 8 500 PLN,  .NET   .NET Core   SQL  ,Junior
Junior Java Developer,Netcompany Poland Sp. z o.o.,Warszawa,6 500 - 8 500 PLN,  Java   Spring Boot   SQL  ,Junior
Junior/Mid Front-end Angular Developer ,KPMG w Polsce ,"Remote, Warszawa",9 000 - 15 000 PLN,  Angular  ,Junior
Młodszy Specjalista ds. Serwisu Oprogramowania,Asseco Poland S.A.,Remote,,  PL/SQL  ,Junior
Młodszy Inżynier Baz Danych,Asseco Poland S.A.,Remote,,  MySQL  ,Junior
Junior Test Automation Engineer - Trade Finance,Commerzbank - Centrum Technologii Cyfrowych w Polsce,Łódź,Znamy widełki,  Java   JavaScript   HTML  ,Junior
Młodszy Administrator IT,Asseco Poland S.A.,Wrocław,,  Windows   Linux  ,Junior
Junior Cloud Developer,PKO BP Finat,"Remote, Warszawa, Łódź",,  Java   .NET   .NET Core  ,Junior
Junior Business Analyst,Sapiens Software Solutions Poland Sp. z o.o. ,"Remote, Gdynia, Warszawa, Wrocław",,  #businessanalyst  ,Junior
Junior Test Engineer,Transition Technologies PSC S.A.,"Remote, Białystok, Kielce i 3 więcej",, ,Junior
Tester Techniczny,Pentacomp Systemy Informatyczne,Remote,,  Java   C#   Linux  ,Junior
"Junior Software Engineer - SQL, C# .NET",Diebold Nixdorf,"Katowice, Wrocław",Znamy widełki,  C#   .net   MS SQL  ,Junior
Junior Java Developer,Hycom,"Remote, Łódź, Toruń, Warszawa",,  Java/Spring ,Junior
