Title,Company,Location,Salary,Skills,Experience level
Consultant CAD/PLM,Transition Technologies PSC S.A.,"Remote, Białystok, Kielce i 3 więcej",, ,Mid
Backend Java Developer,PKO BP Finat,"Poznań, Warszawa",,  Java   Spring Boot  ,Mid
Analityk IT (biznesowo-systemowy),PKO BP Finat,Warszawa,,  SQL.  ,Mid
Delivery Manager - BI,Sii Polska,"Remote, Białystok, Bydgoszcz i 12 więcej",, ,Mid
Mid/Senior Ruby Developer,The Codest,"Remote, Kraków",10 000 - 21 000 PLN,  Ruby   Ruby on Rails   PostgreSQL  ,Mid
Mid/Senior Java Developer,The Codest,"Remote, Kraków",10 000 - 21 000 PLN,  Java   Spring Boot   Spring Security  ,Mid
DevOps Engineer,Infolet,Kraków,19 200 - 24 000 PLN,"  devops, docker, aws ",Mid
Mid/Senior React Developer,The Codest,"Remote, Kraków",10 000 - 21 000 PLN,  React  ,Mid
Application Support Engineer (Big Data),Commerzbank - Centrum Technologii Cyfrowych w Polsce,"Remote, Łódź",,  MySQL   Linux   Unix  ,Mid
Automation Tester,7N,"Remote, Warszawa",19 300 - 23 500 PLN,  Karate   Cucumber   Gherkin  ,Mid
Business Expert - Cluster Management,Commerzbank - Centrum Technologii Cyfrowych w Polsce,"Remote, Łódź",, ,Mid
Konsultant/Starszy Konsultant w Business Advisory - Shared Service and Outsourcing Advisory (SSOA),KPMG w Polsce ,"Remote, Warszawa, Kraków i 5 więcej",, ,Mid
.NET Developer,Trimtab Arteria Management Sp. zo.o. S.K.,Warszawa,10 000 - 15 000 PLN,  Zrób następny krok w swoim rozwoju ,Mid
Business and System CRM Analyst,Transition Technologies PSC S.A.,"Remote, Białystok, Kielce i 3 więcej",,  XML  ,Mid
Data Engineer/Data Analyst,Power Media,"Remote, Katowice, Kraków",,  SQL   Python   R  ,Mid
Mid Full Stack Java Developer,Oakfusion Sp. z o.o.,"Remote, Wrocław",10 000 - 20 000 PLN,  Java/Frontend/Cloud newest stack ,Mid
Linux Engineer / DevOps,EuroLinux Sp. z o. o.,"Kraków, Warszawa",7 000 - 15 000 PLN,  Linux   CentOS   Enterprise  ,Mid
Chapter Lead - Models,Commerzbank - Centrum Technologii Cyfrowych w Polsce,"Remote, Łódź",, ,Mid
Mid Frontend Developer,Oakfusion Sp. z o.o.,"Remote, Wrocław",10 000 - 20 000 PLN,  Java/Frontend/Cloud newest stack ,Mid
Java Developer (Oracle Commerce),Hycom,"Remote, Łódź, Toruń, Warszawa",,  Java/ATG ,Mid
SAPUI5 Developer,LeverX Group,Wrocław,,  SAPUI5   HTML   JavaScript  ,Mid
Data Scientist,LeverX Group,Wrocław,,  Data Science  ,Mid
QA Engineer,Diebold Nixdorf,Wrocław,,  MS SQL   T-SQL  ,Mid
Quality Assurance Consultant,SAP Labs Polska,"Remote, Gliwice, Kraków, Wrocław",,  | Java/JavaScript/Python | Agile | ,Mid
Quality Assurance (QA) Engineer / Tester,Diebold Nixdorf,Katowice,,  API testing   Confluence  ,Mid
Manual QA Test Engineer,Diebold Nixdorf,Katowice,,  .NET Core   MS SQL   SQL  ,Mid
Data Engineer,LeverX Group,Wrocław,,  Java   Python   SQL  ,Mid
QA Automation Test Engineer,Diebold Nixdorf,"Remote, Katowice",,  QA Automation ,Mid
Business Analyst,LeverX Group,Wrocław,,  BA  ,Mid
.Net Developer - Solutions Development,KPMG w Polsce ,Warszawa,12 000 - 15 000 PLN,  ASP.NET   .NET Core   JavaScript  ,Mid
Front-end Angular Developer,KPMG w Polsce ,"Remote, Warszawa",9 000 - 15 000 PLN,  Angular  ,Mid
Project Manager,LeverX Group,Wrocław,,  PM  ,Mid
Dynamics 365 CE Developer,KPMG w Polsce ,"Remote, Warszawa",11 000 - 18 000 PLN,  .NET   C#  ,Mid
Dynamics365 CE Consultant,KPMG w Polsce ,"Remote, Warszawa",11 000 - 18 000 PLN, ,Mid
Java Developer,KRUK S.A.,"Remote, Wrocław",,  Java   Spring   Spring Boot  ,Mid
Dynamics 365 F&O Developer,KPMG w Polsce ,"Remote, Warszawa",11 000 - 18 000 PLN,  Azure  ,Mid
Dynamics 365 F&O Consultant,KPMG w Polsce ,"Remote, Warszawa",11 000 - 18 000 PLN, ,Mid
DevOps Engineer (Linux),LeverX Group,Wrocław,,  DevOps  ,Mid
Golang Developer,LeverX Group,Wrocław,,  Go   English   NoSQL  ,Mid
Software Developer (C++),ONWELO SA,"Remote, Kraków, Warszawa i 3 więcej",12 000 - 22 000 PLN,  C++   Qt  ,Mid
Frontend Developer (Angular),Power Media,Warszawa,,  Angular   JavaScript     TypeScript  ,Mid
Frontend Developer,LeverX Group,Wrocław,,  HTML5   JavaScript   CSS3  ,Mid
Java Developer,LeverX Group,Wrocław,,  Java   SQL    OOP  ,Mid
.NET Developer,LeverX Group,Wrocław,,  .NET   Git  ,Mid
Python Developer,LeverX Group,Wrocław,,  Python   REST   PostgreSQL  ,Mid
Data Architect,Power Media,Katowice,,  SQL   Python   R  ,Mid
Node.js Developer,LeverX Group,Wrocław,,  Node.js   MongoDB   MySQL  ,Mid
ABAP Developer,LeverX Group,Wrocław,,  ABAP   SAP   MS Dynamics  ,Mid
Java Developer,Sollers Consulting,"Warszawa, Poznań, Lublin i 3 więcej",9 500 - 18 000 PLN,"  OOP, Java, Spring ",Mid
IOS Developer,LeverX Group,Wrocław,,  iOS   C++   Core Data  ,Mid
Frontend Developer,LiveKid ,Kraków,10 000 - 15 000 PLN,  |JavaScript| |HTML| |CSS/SCSS| |Vue| ,Mid
Programista Java,DOZ S.A.,"Remote, Warszawa, Łódź",Znamy widełki,  Java  ,Mid
JavaScript Engineer,Motorola Solutions Systems Polska Sp.z.o.o,Kraków,,  JavaScript   Node.js  ,Mid
Oracle Database Administrator,Motorola Solutions Systems Polska Sp.z.o.o,Kraków,,  Oracle Database   MySQL  ,Mid
.NET Full-stack Developer (mid/senior),7N,"Remote, Warszawa",16 800 - 24 500 PLN,  MS SQL Server   C#   .NET  ,Mid
Java Developer,Sii Polska,"Remote, Katowice, Gliwice i 11 więcej",15 000 - 24 000 PLN,  Java 11   Spring   Spring Boot  ,Mid
Front-end Developer,Sii Polska,"Remote, Warszawa, Gdańsk i 11 więcej",13 000 - 18 000 PLN,  JavaScript   HTML   CSS  ,Mid
API Specialist,T-Mobile Polska S. A.,Warszawa,, ,Mid
Java Developer,ONWELO SA,"Remote, Katowice, Kraków",16 800 - 25 200 PLN,  Java   Spring   REST  ,Mid
C Embedded Developer,Sii Polska,"Gdańsk, Białystok, Bydgoszcz i 10 więcej",,  Embedded ,Mid
C++ Developer,Sii Polska,"Remote, Katowice, Gliwice, Częstochowa",14 000 - 16 000 PLN,  C++   Linux   JIRA  ,Mid
Quality Assurance Engineer,Monterail,"Remote, Wrocław",5 800 - 11 000 PLN,  JIRA   Git  ,Mid
Solution / IT Architect,Kredyt Inkaso SA,"Lublin, Warszawa, Wrocław, Gdańsk",16 000 - 19 000 PLN,  Architekt IT ,Mid
Programista SAS/SQL,Grupa PZU,Warszawa,,"  hurtownia danych, business intelligence ",Mid
PHP Developer,LSI Software S.A.,Łódź,6 000 - 13 400 PLN,  #PHP#web#symfony ,Mid
Android Developer,Altimi Solutions,Wrocław,,  przełomowy produkt w branży automotive ,Mid
Backend Java Developer,PKO BP Finat,"Poznań, Warszawa",,  Java   Spring Boot   Spring  ,Mid
.NET Developer,KRUK S.A.,"Remote, Wrocław",,  .NET   .NET Core   C#  ,Mid
Software Development Manager,Motorola Solutions Systems Polska Sp.z.o.o,Kraków,, ,Mid
QA Assurance Engineer,Medius,"Remote, Kraków",,  Medius ,Mid
Linux Platform Engineer,Motorola Solutions Systems Polska Sp.z.o.o,Kraków,, ,Mid
Java Cloud Developer,SAP Labs Polska,"Gliwice, Katowice, Łódź",,  | Java | Agile | SAP | RDBMS | SQL | ,Mid
System Configuration and Test Engineer,Motorola Solutions Systems Polska Sp.z.o.o,Kraków,, ,Mid
Cloud Software Developer,SAP Labs Polska,"Remote, Warszawa, Gdańsk, Gliwice",,  | Java | Spring | Agile | ,Mid
Java Cloud Developer,SAP Labs Polska,"Remote, Warszawa, Gdańsk, Gliwice",,  | Java | Spring | UI | SAP | Git | ,Mid
Mobile application software engineer (React Native/Flutter) - WatchGuard,Motorola Solutions Systems Polska Sp.z.o.o,Kraków,,  Android and   or iOS)   Swift  ,Mid
Release Train Engineer,SAP Labs Polska,"Remote, Warszawa, Gdańsk, Gliwice",,  Agile ,Mid
Cloud Developer for SAP's Product & Material Master Data,SAP Labs Polska,"Remote, Warszawa, Poznań, Gliwice",,  | SAP | CRM | Git | JavaScript | ,Mid
Scrum Master – Salesforce,Sii Polska,"Remote, Białystok, Częstochowa i 10 więcej",,  Scrum   JIRA   Confluence  ,Mid
FullStack Developer,SAP Labs Polska,"Remote, Warszawa, Poznań, Gliwice",,  |HTML|CSS|JavaScript|Python|Java| ,Mid
Administrator Windows,PKO BP Finat,"Warszawa, Poznań, Wrocław",,  Windows  ,Mid
Administrator Windows,PKO BP Finat,"Warszawa, Poznań, Wrocław",,  Windows  ,Mid
Mobile Applications Software Engineer (Flutter)- MultiSight,Motorola Solutions Systems Polska Sp.z.o.o,Kraków,,  React Native   Flutter  ,Mid
Administrator LAN/WAN (Fortinet),PKO BP Finat,"Warszawa, Wrocław, Poznań",, ,Mid
DevOps Engineer,Transition Technologies PSC S.A.,"Remote, Białystok, Kielce i 3 więcej",,  Jenkins   REST   Python  ,Mid
ETL Developer,Transition Technologies PSC S.A.,"Remote, Białystok, Kielce i 3 więcej",,  PL/SQL  ,Mid
JavaScript Developer,PKO BP Finat,Poznań,,  Javascript   HTML5   CSS3  ,Mid
Sales Support Consultant,Transition Technologies PSC S.A.,"Remote, Białystok, Kielce i 3 więcej",, ,Mid
QA Competence Center Manager,Transition Technologies PSC S.A.,"Remote, Białystok, Kielce i 3 więcej",, ,Mid
Scrum Master,Motorola Solutions Systems Polska Sp.z.o.o,Kraków,, ,Mid
Scrum Master,PKO BP Finat,Wrocław,Znamy widełki,  Scrum   Agile  ,Mid
