Title,Company,Location,Salary,Skills,Experience level
Senior Android Application Engineer,Luxoft Poland,Remote,,  Android   Java  ,Senior
Senior Full stack java developer,Luxoft Poland,"Remote, Kraków",,  Angular   Java   JavaScript  ,Senior
Senior React Engineer For Desktop Applications,Luxoft Poland,Remote,,  AWS   CSS   Electron  ,Senior
Senior Software Developer ADAS C/C++,Luxoft Poland,Wrocław,,  C++  ,Senior
Senior Backend Developer (JAVA/Jira),Luxoft Poland,Gdańsk,,  Hibernate   J2EE   Java  ,Senior
C/C++ Senior Software developer,Luxoft Poland,Wrocław,,  C++  ,Senior
Senior Network Engineer,Luxoft Poland,Remote,, ,Senior
Senior Java Developer,Luxoft Poland,Remote,,  Hibernate   Java   SQL  ,Senior
Senior Data Engineer,Luxoft Poland,Wrocław,,  Big Data   NoSQL   Python  ,Senior
Senior DevOps Engineer,Luxoft Poland,Wrocław,,  Ansible   Bash   Docker  ,Senior
Senior Devops Engineer,Luxoft Poland,"Wrocław, Kraków",,  Ansible   Bash   Docker  ,Senior
Senior Security Quality Engineer,Luxoft Poland,Remote,,  Android   Bash   Ethernet  ,Senior
Fenergo Senior Developer,Luxoft Poland,"Remote, Wrocław",,  .NET   Apache   Git  ,Senior
Senior Ruby on Rails Developer,Monterail,"Remote, Wrocław",12 400 - 25 000 PLN,  Ruby on Rails   Ruby   Git  ,Senior
SQL Server Consultant,Be | Shaping the Future Poland,Warszawa,17 000 - 23 500 PLN,  Windows Server   MS SQL  ,Senior
Delivery Manager,j-labs sp. z o.o.,Kraków,Do 24 600 PLN,  mikroserwisy  ,Senior
Senior iOS Developer,ONWELO SA,"Remote, Lublin, Warszawa",Do 24 500 PLN,  iOS   MVVM   VIPER   ,Senior
Senior Frontend Developer,Packhelp S.A.,"Remote, Warszawa",18 000 - 23 000 PLN,  React/Vue ,Senior
Senior C# Developer,Power Media,Wrocław,,  C#   .NET   Unity  ,Senior
Java Hybris Developer,Sii Polska,Wrocław,,  Java   SAP Hybris   Commerce  ,Senior
Senior Principal Applications Architect- Sabre Hospitality team,Sabre Poland,"Remote, Kraków",,  C#   Java   NoSQL  ,Senior
Senior Node.js Developer,Future Processing,"Remote, Gliwice",10 400 - 19 400 PLN,  Możliwość wyboru projektu ,Senior
Software Developer: DevOps [REMOTE in Poland],Kyndryl,Remote,18 000 - 28 500 PLN,  Kubernetes   Puppet   Ansible  ,Senior
Senior Platform Engineer (DevOps/SysOps),Amusys Production Sp. z o.o.,Remote,20 000 - 28 000 PLN,  DevOps/SysOps ,Senior
Senior Backend Developer - PHP/Golang,Miinto,"Remote, Warszawa",Znamy widełki,  PHP/Golang ,Senior
Senior IT Business Analyst,Commerzbank - Centrum Technologii Cyfrowych w Polsce,"Remote, Łódź",Znamy widełki, ,Senior
ETL Software Engineer,Commerzbank - Centrum Technologii Cyfrowych w Polsce,"Remote, Łódź",,  Python   SQL   Agile  ,Senior
Senior Java / Spring Developer,The WorkinGroup,Remote,21 000 - 25 200 PLN,"  Spring, Postman, PostgreSQL ",Senior
Senior Specialist In Model Validation,Commerzbank - Centrum Technologii Cyfrowych w Polsce,Łódź,Znamy widełki,  SQL     R  ,Senior
Senior Java Developer CDM,Commerzbank - Centrum Technologii Cyfrowych w Polsce,"Remote, Łódź",Znamy widełki,  Java   J2EE   Spring  ,Senior
Principal Java Developer,j-labs sp. z o.o.,"Remote, Warszawa",28 800 - 31 900 PLN,  waw_pb ,Senior
Business Expert Commerzbank,Commerzbank - Centrum Technologii Cyfrowych w Polsce,Łódź,Znamy widełki,  SQL   MS Office tools  ,Senior
Senior Specialist in Liquidity Area,Commerzbank - Centrum Technologii Cyfrowych w Polsce,Łódź,Znamy widełki,  R   SQL   Excel  ,Senior
Cloud SME [REMOTE in Poland],Kyndryl,"Remote, Warszawa",15 000 - 24 000 PLN,  Azure   AWS   GCP  ,Senior
Senior Java Developer (Fintech),ONWELO SA,"Remote, Warszawa, Gdańsk",16 000 - 22 000 PLN,  Java   Spring   Hibernate  ,Senior
AWS DevOps,Power Media,Remote,,  AWS   Linux   Windows  ,Senior
